source_pdf,summary_md,pdf_pages,extracted_chars,summary_chars,methods,complete
01_AB_MIL_Attention-based Deep Multiple Instance Learning.pdf,01_AB_MIL_Attention-based Deep Multiple Instance Learning.md,16,57909,13023,1,True
02_MIXUP_MIL_mixup_ Beyond Empirical Risk Minimization.pdf,02_MIXUP_MIL_mixup_ Beyond Empirical Risk Minimization.md,13,43875,7869,1,True
04_TRANS_MIL_Transformer based Correlated Multiple Instance Learning for WSI Classification.pdf,04_TRANS_MIL_Transformer based Correlated Multiple Instance Learning for WSI Classification.md,15,43476,16254,1,True
05_DS_MIL_Dual-stream MIL Network for WSI Classification with SSL Contrastive Learning.pdf,05_DS_MIL_Dual-stream MIL Network for WSI Classification with SSL Contrastive Learning.md,11,54212,15981,3,True
06_CLAM_MIL_Data Efficient and Weakly Supervised Computational Pathology on WSI.pdf,06_CLAM_MIL_Data Efficient and Weakly Supervised Computational Pathology on WSI.md,35,87324,15398,2,True
07_PGCN_MIL_Context-Aware Survival Prediction using Patch-based Graph Convolutional Networks.pdf,07_PGCN_MIL_Context-Aware Survival Prediction using Patch-based Graph Convolutional Networks.md,13,32829,16985,1,True
08_REMIX_MIL_A General and Efficient Framework for MIL based WSI Classification.pdf,08_REMIX_MIL_A General and Efficient Framework for MIL based WSI Classification.md,40,55788,8940,1,True
09_S4_MIL_Efficiently Modeling Long Sequences with Structured State Spaces.pdf,09_S4_MIL_Efficiently Modeling Long Sequences with Structured State Spaces.md,11,29495,10280,1,True
10_DG_MIL_Distribution Guided Multiple Instance Learning for Whole Slide Image Classification.pdf,10_DG_MIL_Distribution Guided Multiple Instance Learning for Whole Slide Image Classification.md,11,31218,15437,1,True
11_DTFD_MIL_Double-Tier Feature Distillation MIL for Histopathology WSI Classification.pdf,11_DTFD_MIL_Double-Tier Feature Distillation MIL for Histopathology WSI Classification.md,11,46930,9770,1,True
12_ADD_MIL_Additive MIL_ Intrinsically Interpretable MIL for Pathology.pdf,12_ADD_MIL_Additive MIL_ Intrinsically Interpretable MIL for Pathology.md,19,54130,10625,1,True
14_IIB_MIL_Integrated instance-level and bag-level MIL with label disambiguation.pdf,14_IIB_MIL_Integrated instance-level and bag-level MIL with label disambiguation.md,1,675,13466,2,True
15_IB_MIL_Interventional Bag Multi-Instance Learning On Whole-Slide Pathological Images.pdf,15_IB_MIL_Interventional Bag Multi-Instance Learning On Whole-Slide Pathological Images.md,10,47848,11137,1,True
16_RANKMIX_MIL_Data Augmentation for Classifying WSIs with Diverse Sizes.pdf,16_RANKMIX_MIL_Data Augmentation for Classifying WSIs with Diverse Sizes.md,10,44486,9936,1,True
17_MHIM_MIL_MIL Framework with Masked Hard Instance Mining for WSI Classification.pdf,17_MHIM_MIL_MIL Framework with Masked Hard Instance Mining for WSI Classification.md,17,65991,15301,1,True
18_WIKG_MIL_Dynamic Graph Representation with Knowledge-aware Attention for WSI Analysis.pdf,18_WIKG_MIL_Dynamic Graph Representation with Knowledge-aware Attention for WSI Analysis.md,10,45995,14087,1,True
19_AMD_MIL_Agent Aggregator with Mask Denoise Mechanism for Histopathology WSI Analysis.pdf,19_AMD_MIL_Agent Aggregator with Mask Denoise Mechanism for Histopathology WSI Analysis.md,9,47807,15849,1,True
21_PSEBMIX_MIL_Pseudo-Bag Mixup Augmentation for MIL Based Whole Slide Image Classification.pdf,21_PSEBMIX_MIL_Pseudo-Bag Mixup Augmentation for MIL Based Whole Slide Image Classification.md,12,70567,15205,2,True
22_LONG_MIL_Scaling Long Contextual MIL for Histopathology WSI Analysis.pdf,22_LONG_MIL_Scaling Long Contextual MIL for Histopathology WSI Analysis.md,12,60798,12991,1,True
23_DGR_MIL_Exploring Diverse Global Representation in MIL for WSI Classification.pdf,23_DGR_MIL_Exploring Diverse Global Representation in MIL for WSI Classification.md,25,67085,14272,1,True
24_CDP_MIL_cDP-MIL_ Robust Multiple Instance Learning via Cascaded Dirichlet Process.pdf,24_CDP_MIL_cDP-MIL_ Robust Multiple Instance Learning via Cascaded Dirichlet Process.md,18,48050,12931,1,True
25_CA_MIL_Context-Aware Multiple Instance Learning for WSI Classification.pdf,25_CA_MIL_Context-Aware Multiple Instance Learning for WSI Classification.md,16,56430,13700,1,True
26_AC_MIL_Attention-Challenging Multiple Instance Learning for WSI Classification.pdf,26_AC_MIL_Attention-Challenging Multiple Instance Learning for WSI Classification.md,27,69256,15000,2,True
27_MAMBA_MIL_Enhancing Long Sequence Modeling with Sequence Reordering in CPath.pdf,27_MAMBA_MIL_Enhancing Long Sequence Modeling with Sequence Reordering in CPath.md,11,29495,11653,1,True
28_RET_MIL_Retentive Multiple Instance Learning for Histopathological WSI Classification.pdf,28_RET_MIL_Retentive Multiple Instance Learning for Histopathological WSI Classification.md,10,23054,14586,1,True
29_SC_MIL_Sparse Context-aware MIL for Predicting Cancer Survival Probability Distribution in WSI.pdf,29_SC_MIL_Sparse Context-aware MIL for Predicting Cancer Survival Probability Distribution in WSI.md,10,27843,11771,1,True
30_NCIE_MIL_Rethinking Decoupled MIL Framework for Histopathological Slide Classification.pdf,30_NCIE_MIL_Rethinking Decoupled MIL Framework for Histopathological Slide Classification.md,13,34921,16666,2,True
31_RRT_MIL_Towards Foundation Model-Level Performance in Computational Pathology.pdf,31_RRT_MIL_Towards Foundation Model-Level Performance in Computational Pathology.md,10,47750,14897,1,True
32_PA_MIL_Dynamic Policy-Driven Adaptive Multi-Instance Learning for WSI Classification.pdf,32_PA_MIL_Dynamic Policy-Driven Adaptive Multi-Instance Learning for WSI Classification.md,10,49610,16664,3,True
33_MICRO_MIL_Graph-Based MIL for Context-Aware Diagnosis with Microscopic Images.pdf,33_MICRO_MIL_Graph-Based MIL for Context-Aware Diagnosis with Microscopic Images.md,11,27103,16994,2,True
34_DYHG_MIL_Dynamic Hypergraph Representation for Bone Metastasis Cancer Analysis.pdf,34_DYHG_MIL_Dynamic Hypergraph Representation for Bone Metastasis Cancer Analysis.md,12,62732,12739,3,True
36_MAMBA2D_MIL_2DMamba_ Efficient State Space Model for Image Representation.pdf,36_MAMBA2D_MIL_2DMamba_ Efficient State Space Model for Image Representation.md,19,73795,8606,1,True
37_FOURIER_MIL_Fourier filtering-based multiple instance learning for whole slide image analysis.pdf,37_FOURIER_MIL_Fourier filtering-based multiple instance learning for whole slide image analysis.md,16,75119,12504,1,True
38_AEM_MIL_Attention Entropy Maximization for MIL based WSI Classification.pdf,38_AEM_MIL_Attention Entropy Maximization for MIL based WSI Classification.md,11,28799,9651,1,True
39_MICO_MIL_Multiple Instance Learning with Context-Aware Clustering.pdf,39_MICO_MIL_Multiple Instance Learning with Context-Aware Clustering.md,11,27011,16321,1,True
40_TDA_MIL_Top-Down Attention-based Multiple Instance Learning for Whole Slide Image Analysis.pdf,40_TDA_MIL_Top-Down Attention-based Multiple Instance Learning for Whole Slide Image Analysis.md,11,25784,19375,1,True
41_PSA_MIL_Probabilistic Spatial Attention-Based MIL for Whole Slide Image Classification.pdf,41_PSA_MIL_Probabilistic Spatial Attention-Based MIL for Whole Slide Image Classification.md,10,46108,14964,1,True
43_GDF_MIL_Rethinking Multi-Instance Learning through Graph-Driven Fusion.pdf,43_GDF_MIL_Rethinking Multi-Instance Learning through Graph-Driven Fusion.md,9,38819,24365,3,True
44_DAG_MIL_Deformable attention graph representation learning for histopathology WSI analysis.pdf,44_DAG_MIL_Deformable attention graph representation learning for histopathology WSI analysis.md,9,39533,11528,1,True
45_CAMPANELLA_MIL_Clinical-grade computational pathology using weakly supervised deep learning on WSI.pdf,45_CAMPANELLA_MIL_Clinical-grade computational pathology using weakly supervised deep learning on WSI.md,14,73661,13905,2,True
46_RMDL_Recalibrated multi-instance deep learning for whole slide gastric image classification.pdf,46_RMDL_Recalibrated multi-instance deep learning for whole slide gastric image classification.md,12,62655,15503,2,True
47_CMIL_CAMEL_Weakly supervised learning framework for histopathology image segmentation.pdf,47_CMIL_CAMEL_Weakly supervised learning framework for histopathology image segmentation.md,10,33644,13280,2,True
48_INTER_MIL_Predicting molecular traits through self-interactive multi-instance learning.pdf,48_INTER_MIL_Predicting molecular traits through self-interactive multi-instance learning.md,17,97774,16189,1,True
49_LNPL_MIL_Learning from noisy pseudo labels for promoting MIL in WSI.pdf,49_LNPL_MIL_Learning from noisy pseudo labels for promoting MIL in WSI.md,11,58125,19825,2,True
50_SMMILE_MIL_Accurate spatial quantification in computational pathology with MIL.pdf,50_SMMILE_MIL_Accurate spatial quantification in computational pathology with MIL.md,50,124383,16372,1,True
51_DEEPATTNMISL_MIL_WSI based cancer survival prediction using attention guided deep MIL.pdf,51_DEEPATTNMISL_MIL_WSI based cancer survival prediction using attention guided deep MIL.md,22,72115,13986,1,True
52_MS_DA_MIL_Multi-scale domain-adversarial MIL CNN for cancer subtype classification.pdf,52_MS_DA_MIL_Multi-scale domain-adversarial MIL CNN for cancer subtype classification.md,10,39778,13808,1,True
53_MIXED_SUPERVISION_MIL_Multiple instance learning with mixed supervision in Gleason grading.pdf,53_MIXED_SUPERVISION_MIL_Multiple instance learning with mixed supervision in Gleason grading.md,10,23971,14924,1,True
54_MDMIL_Targeting tumor heterogeneity multiplex-detection-based MIL.pdf,54_MDMIL_Targeting tumor heterogeneity multiplex-detection-based MIL.md,10,45141,24391,3,True
55_RAM_MIL_Retrieval-augmented multiple instance learning.pdf,55_RAM_MIL_Retrieval-augmented multiple instance learning.md,20,69112,11629,1,True
56_VINO_MIL_Transformer-based video-structure MIL for WSI classification.pdf,56_VINO_MIL_Transformer-based video-structure MIL for WSI classification.md,9,45991,16044,1,True
57_PROV_GIGAPATH_MIL_A whole-slide foundation model for digital pathology from real-world data.pdf,57_PROV_GIGAPATH_MIL_A whole-slide foundation model for digital pathology from real-world data.md,22,74605,12016,1,True
58_STATE_SPACE_MIL_Structured state space models for MIL in digital pathology.pdf,58_STATE_SPACE_MIL_Structured state space models for MIL in digital pathology.md,11,27040,9676,1,True
59_CIMIL_Boosting MIL models based on counterfactual inference.pdf,59_CIMIL_Boosting MIL models based on counterfactual inference.md,9,40834,19519,1,True
DT_MIL.pdf,DT_MIL.md,11,28601,15196,1,True
FR_MIL.pdf,FR_MIL.md,14,82245,19363,2,True
IIB_MIL.pdf,IIB_MIL.md,10,24772,15186,1,True
ILRA_MIL.pdf,ILRA_MIL.md,18,55416,17414,2,True
MO_MIL.pdf,MO_MIL.md,10,58874,10258,1,True
MSM_MIL.pdf,MSM_MIL.md,13,72426,10642,1,True
Stable_MIL.pdf,Stable_MIL.md,17,87643,14278,2,True
